AssignmentId,WorkerId,HITId,AutoApprovalTime,AcceptTime,SubmitTime,Answer
3EJJQNKU960ONJFQ7JUNJEUS0ULRHC,A2XEZ2RZUS2NMI,3OCZWXS7021ZI82PBVRGJLNOYPOL5M,2023-02-24 17:55:09-05:00,2023-01-25 17:55:01-05:00,2023-01-25 17:55:09-05:00,Neutral
354P56DE9ZY3V99R9Z8GIBAU8T8S7Z,A2XEZ2RZUS2NMI,3IJ95K7NEB6NM5UU44QM0AI2TT2NG8,2023-02-24 18:33:18-05:00,2023-01-25 18:33:12-05:00,2023-01-25 18:33:18-05:00,Positive
3IAEQB9FMTFCJZRAKHL3FSNB0HJWDN,A1W3VZV2POI85H,3VJ4PFXFKH1Z7410F5AYIJZT3UIUAV,2023-02-26 21:26:21-05:00,2023-01-27 21:26:08-05:00,2023-01-27 21:26:21-05:00,Negative
3LRLIPTPE54NQSUHBTBY1GLAS7JAK9,A2JX2VIJWXHS4X,3VJ4PFXFKH1Z7410F5AYIJZT3UIUAV,2023-02-27 21:09:57-05:00,2023-01-28 21:09:52-05:00,2023-01-28 21:09:57-05:00,Neutral
3Z9WI9EOZEJ20F2VHZLQI28E52DKHY,AOSDB00WXVME4,3VJ4PFXFKH1Z7410F5AYIJZT3UIUAV,2023-02-28 14:29:40-05:00,2023-01-29 14:29:14-05:00,2023-01-29 14:29:40-05:00,Positive
3FPRZHYEPD21MIP81IAVGHIL2VT3VN,A1W3VZV2POI85H,3MD8CKRQ0DHIS5CN5HS667FSMI8RJ4,2023-02-26 21:26:31-05:00,2023-01-27 21:26:21-05:00,2023-01-27 21:26:31-05:00,Neutral
3S0TNUHWK8D1TYVSME5X1CKPIAMD8V,A2JX2VIJWXHS4X,3MD8CKRQ0DHIS5CN5HS667FSMI8RJ4,2023-02-27 21:09:51-05:00,2023-01-28 21:09:39-05:00,2023-01-28 21:09:51-05:00,Negative
308XBLVESXZEW6C47RKRX3RU5H2BR2,AOSDB00WXVME4,3MD8CKRQ0DHIS5CN5HS667FSMI8RJ4,2023-02-28 14:28:17-05:00,2023-01-29 14:27:52-05:00,2023-01-29 14:28:17-05:00,Neutral
3VW6495TLYVJ6FH1VEQ5DAISTDPYYW,A1W3VZV2POI85H,3126F2F5GMXP5CAGEODQ4W2LGSOPEP,2023-02-26 21:27:04-05:00,2023-01-27 21:26:54-05:00,2023-01-27 21:27:04-05:00,Positive
3DIP6YHAPRN6L49SI9GH7U2AIMN8EJ,A2JX2VIJWXHS4X,3126F2F5GMXP5CAGEODQ4W2LGSOPEP,2023-02-27 21:08:16-05:00,2023-01-28 21:07:48-05:00,2023-01-28 21:08:16-05:00,Negative
339ANSOTRKX2WADFNH3BIE9T5FSKIR,AOSDB00WXVME4,3126F2F5GMXP5CAGEODQ4W2LGSOPEP,2023-02-28 14:30:39-05:00,2023-01-29 14:30:24-05:00,2023-01-29 14:30:39-05:00,Neutral
3X1FV8S5JCM2GU1WWXHFZB7U60XVGM,AT6U29D7VCL7L,3OLZC0DJ9X9EQ19YWJCGV3PVU9WIVC,2023-02-26 18:30:40-05:00,2023-01-27 18:30:22-05:00,2023-01-27 18:30:40-05:00,Neutral
3LOTDFNYAMU9HJ56BNGT3SQWCUZWFY,A1W3VZV2POI85H,3OLZC0DJ9X9EQ19YWJCGV3PVU9WIVC,2023-02-26 21:26:54-05:00,2023-01-27 21:26:43-05:00,2023-01-27 21:26:54-05:00,Positive
3S0TNUHWK8D1TYVSME5X1CKPIAL8DP,AOUQO4R0XPPYF,3OLZC0DJ9X9EQ19YWJCGV3PVU9WIVC,2023-02-27 14:35:07-05:00,2023-01-28 14:34:56-05:00,2023-01-28 14:35:07-05:00,Neutral
34FNN24DC14L4R7HKCL82DKZY8R5YT,A2JX2VIJWXHS4X,3OLZC0DJ9X9EQ19YWJCGV3PVU9WIVC,2023-02-27 21:07:24-05:00,2023-01-28 21:07:15-05:00,2023-01-28 21:07:24-05:00,Neutral
