UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
14,44966,,4/3/2020,"#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.",Extremely Positive
18,44970,"Toronto, Ontario",5/3/2020,"When you’re stockpiling food & other supplies, buy extra for your local food bank. Many families don’t have the luxury to spend beyond their weekly budget. @DailyBreadTO  #coronavirus",Neutral
29,44981,,7/3/2020,"While you are stocking up, waiting for quarantine, if you can don't forget to donate  food, water, and toiletries to your local food banks to help others without the means to stock up. Get ahead of it before it becomes a crisis. #covid19 #coronavirus",Negative
31,44983,"New York, New York",7/3/2020,"Two important phone numbers NYers should know. If you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. To report price gouging, call the Div. of Consumer Protection at 1-800-697-1220.",Negative
36,44988,"Dont ask for freedom, take it.",8/3/2020,"Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.We've still got Brexit, Austerity, poverty, a crashing economy & the worst UK Govt in living memory. All depressing stuff & it aint gonna end well.",Extremely Negative
50,45002,#NoNazis?? kaspum zahÃ¡v,9/3/2020,"The beginning of a  global recession!

#Coronavirus damaging health crisis?
#oil prices falling down?
US stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the EU borders 
#housingCrisis &amp; skyrocketing rents. Tenants are losing 50% of income?
#Q*",Extremely Negative
198,45150,London,11/3/2020,Popped into my local supermarket after work. The baskets are noticeably clean... There’s no hand wash or bog roll ????? not that I needed any... did no one wash before #Covid_19 ?,Positive
204,45156,"Ithaca, NY",11/3/2020,Small reminder: stock up on bar soap for your local food pantry/ place of worship. Our guests at our feeding ministry have asked for it (more portable than liquid hand soap) & they need to stay safe from covid-19 too.,Extremely Positive
717,45669,London,12/3/2020,Just did online shopping and first available slot was Sunday at 11pm-12am. Loo roll and baked beans sold out. #coronavirus,Neutral
771,45723,"Logan, UT",12/3/2020,@Disney What would it take for my family to pay movie ticket prices and watch this at home to avoid the #Covid_19 ? Happy to pay the $$$Â’s.,Positive
