AssignmentId,WorkerId,HITId,AutoApprovalTime,AcceptTime,SubmitTime,Answer,ATime,STime,Sentiment,GroundTruth,AI_label,MinDiff,SecDiff
3FIJLY1B69ZJXA85Z12YBYI0JZ9PFD,A2XEZ2RZUS2NMI,3NFWQRSHWS8BYDHD6G79S59TS6IFG4,2023-03-05 12:37:41-05:00,2023-02-03 12:37:05-05:00,2023-02-03 12:37:41-05:00,Positive,2023-02-03 12:37:05-05:00,2023-02-03 12:37:41-05:00,4,5,4,0.6,36.0
3PIWWX1FJY13G1R3NEOZT0OG37KJJA,A2XEZ2RZUS2NMI,3A9LA2FRX686YV39QGVDJCL1BBRHXW,2023-03-05 12:34:34-05:00,2023-02-03 12:34:23-05:00,2023-02-03 12:34:34-05:00,Positive,2023-02-03 12:34:23-05:00,2023-02-03 12:34:34-05:00,4,3,3,0.18333333333333332,11.0
31N2WW6R96LCQL3I135RYVFZE3S3FQ,A2044KE1LDC77D,3A9LA2FRX686YV39QGVDJCL1BBRHXW,2023-03-08 13:37:35-05:00,2023-02-06 13:37:28-05:00,2023-02-06 13:37:35-05:00,Neutral,2023-02-06 13:37:28-05:00,2023-02-06 13:37:35-05:00,3,3,3,0.11666666666666667,7.0
33NF62TLXYXYRLXL5ZOBUFOTIWKJK9,A2XEZ2RZUS2NMI,3LOJFQ4BPB9J2FZ051XY2XY1NAJKD1,2023-03-05 12:36:17-05:00,2023-02-03 12:35:45-05:00,2023-02-03 12:36:17-05:00,Negative,2023-02-03 12:35:45-05:00,2023-02-03 12:36:17-05:00,2,2,2,0.5333333333333333,32.0
3WT783CTPQCAQ4NLPUUW88S85IPCBR,A5G7GQDKA3BRJ,36JW4WBR1KEPY9COQMPRD5LU76VFH3,2023-03-10 13:32:52-05:00,2023-02-08 13:32:24-05:00,2023-02-08 13:32:52-05:00,Negative,2023-02-08 13:32:24-05:00,2023-02-08 13:32:52-05:00,2,1,2,0.4666666666666667,28.0
3DHE4R9OCB6TJ33U8NX4X6AJ94IG2H,A1CFIFCWT9WGJW,3YLTXLH3ET01PM1I4PLWPZZY9CIPHG,2023-03-05 21:56:32-05:00,2023-02-03 21:56:15-05:00,2023-02-03 21:56:32-05:00,Negative,2023-02-03 21:56:15-05:00,2023-02-03 21:56:32-05:00,2,1,2,0.2833333333333333,17.0
3X73LLYYQG938LNYECD6AUPIZZMNHE,A1CFIFCWT9WGJW,3AJA9FLWTQSPU4N8W47CDHM97JAFIW,2023-03-05 21:56:55-05:00,2023-02-03 21:56:36-05:00,2023-02-03 21:56:55-05:00,Positive,2023-02-03 21:56:36-05:00,2023-02-03 21:56:55-05:00,4,4,4,0.31666666666666665,19.0
3YT88D1N0NTN67VW2EWOE874MYQK3O,A2XEZ2RZUS2NMI,3CRWSLD92YY5W0QSGMOUS424GTLMO5,2023-03-04 11:13:11-05:00,2023-02-02 11:13:09-05:00,2023-02-02 11:13:11-05:00,Positive,2023-02-02 11:13:09-05:00,2023-02-02 11:13:11-05:00,4,5,4,0.03333333333333333,2.0
3HUTX6F6V9IHBGKSW6AC2FJL0QJ2O0,AOSDB00WXVME4,3CRWSLD92YY5W0QSGMOUS424GTLMO5,2023-03-08 12:12:09-05:00,2023-02-06 12:12:01-05:00,2023-02-06 12:12:09-05:00,Positive,2023-02-06 12:12:01-05:00,2023-02-06 12:12:09-05:00,4,5,4,0.13333333333333333,8.0
3P59JYT760FXO8P0SNWBWPP8ZYV2TH,A1CFIFCWT9WGJW,366FYU4PUUJOULD01W8I8FGMNMKKEU,2023-03-06 20:00:53-05:00,2023-02-04 20:00:50-05:00,2023-02-04 20:00:53-05:00,Neutral,2023-02-04 20:00:50-05:00,2023-02-04 20:00:53-05:00,3,3,3,0.05,3.0
